song,artist,entry_date,exit_date,days_observed,peak_position,peak_popularity,lifecycle_days,entry_date_check,entry_position,peak_date,peak_position_check,time_to_peak_days,album_type,total_tracks,is_explicit,duration_ms,duration_minutes,lifecycle_stage,retention_stability_index,duration_group,album_size_group,popularity_group,entry_month,longevity_score,stability_score,peak_score,content_maturity_score
0 CONFIANZA,Rvfv,2025-06-02,2025-06-23,20,23,62,22,2025-06-02,40,2025-06-07,23,5,album,20,False,217500,3.625,Growth Phase,0.95,3.5–4 min,16+ tracks,60–70,2025-06,0.038181818181818185,0.95,0.5510204081632653,0.4655788497217068
"1 de Enero, Puntacana",Rels B,2025-04-28,2025-04-28,1,45,65,1,2025-04-28,45,2025-04-28,45,0,album,13,False,95000,1.5833333333333333,New Entry,1.0,<2.5 min,11–15 tracks,60–70,2025-04,0.0,1.0,0.10204081632653061,0.33061224489795915
1000COSAS,Lola Indigo & Manuel Turizo,2025-03-10,2025-11-13,245,3,81,249,2025-03-10,3,2025-03-10,3,0,single,1,False,239482,3.9913666666666665,Peak Phase,0.9836734693877551,3.5–4 min,Single,80–90,2025-03,0.4509090909090909,0.9836734693877551,0.9591836734693877,0.7632207792207792
100xCiento,Foreign Teck & Eladio Carrion & De La Ghetto,2025-04-30,2025-05-15,11,13,75,16,2025-04-30,42,2025-05-11,13,11,single,1,True,219682,3.661366666666667,Growth Phase,0.7272727272727273,3.5–4 min,Single,70–80,2025-04,0.02727272727272727,0.7272727272727273,0.7551020408163265,0.455621521335807
14 FEBREROS,Quevedo,2025-11-24,2025-11-27,4,9,68,4,2025-11-24,9,2025-11-24,9,0,album,18,True,172422,2.8737,New Entry,1.0,2.5–3 min,16+ tracks,60–70,2025-11,0.005454545454545455,1.0,0.8367346938775511,0.5532022263450835
2AM,Sebastian Yatra & Bad Gyal,2025-11-24,2025-11-27,4,31,64,4,2025-11-24,41,2025-11-27,31,3,single,1,False,196426,3.2737666666666665,New Entry,1.0,3–3.5 min,Single,60–70,2025-11,0.005454545454545455,1.0,0.3877551020408163,0.41850834879406307
2xLL,JC Reyes & YOVNGCHIMI & Slayter,2025-07-12,2025-08-09,26,35,71,29,2025-07-12,50,2025-07-23,35,11,single,1,False,178909,2.9818166666666666,Growth Phase,0.9615384615384616,2.5–3 min,Single,70–80,2025-07,0.05090909090909091,0.9615384615384616,0.30612244897959184,0.40066190951905234
3 CAÍDAS,SAIKO,2025-04-28,2025-05-05,8,13,69,8,2025-04-28,13,2025-04-28,13,0,album,16,False,251565,4.19275,Mature Phase,1.0,>4 min,16+ tracks,60–70,2025-04,0.012727272727272728,1.0,0.7551020408163265,0.531621521335807
4 PREZ,Cruz Cafuné,2024-05-28,2024-05-29,2,35,56,2,2024-05-28,35,2024-05-28,35,0,album,23,True,149484,2.4914,New Entry,1.0,<2.5 min,16+ tracks,40–60,2024-05,0.0018181818181818182,1.0,0.30612244897959184,0.3925640074211503
4TO 23,Aitana,2025-07-07,2025-07-16,9,17,69,10,2025-07-07,17,2025-07-07,17,0,single,1,False,168320,2.8053333333333335,Mature Phase,0.8888888888888888,2.5–3 min,Single,60–70,2025-07,0.016363636363636365,0.8888888888888888,0.6734693877551021,0.47525293753865183
50 PALOS,Feid,2024-12-02,2024-12-02,1,38,0,1,2024-12-02,38,2024-12-02,38,0,album,10,True,167240,2.787333333333333,New Entry,1.0,2.5–3 min,6–10 tracks,,2024-12,0.0,1.0,0.24489795918367352,0.373469387755102
57,KAROL G & Feid & DFZM,2025-11-10,2025-11-27,18,8,85,18,2025-11-10,8,2025-11-10,8,0,single,1,True,298130,4.968833333333333,Peak Phase,1.0,>4 min,Single,80–90,2025-11,0.03090909090909091,1.0,0.8571428571428572,0.5695064935064935
58,JHAYCO,2025-09-08,2025-09-18,8,35,68,11,2025-09-08,35,2025-09-08,35,0,album,29,False,287586,4.7931,Decline Phase,0.75,>4 min,16+ tracks,60–70,2025-09,0.01818181818181818,0.75,0.30612244897959184,0.3241094619666048
69,Nicky Jam & Feid,2024-05-21,2024-06-30,41,22,87,41,2024-05-21,39,2024-05-31,22,10,single,1,True,221935,3.698916666666667,Growth Phase,1.0,3.5–4 min,Single,80–90,2024-05,0.07272727272727272,1.0,0.5714285714285714,0.5005194805194805
A 300,JC Reyes & Pedro Calderon,2024-08-06,2025-01-05,148,15,78,153,2024-08-06,50,2025-01-05,15,152,single,1,False,169208,2.820133333333333,Growth Phase,0.9932432432432432,2.5–3 min,Single,70–80,2024-08,0.27636363636363637,0.9932432432432432,0.7142857142857143,0.6228041418041418
A 300,JC Reyes & Pedro Calderon & Blacknife,2025-01-06,2025-04-24,107,11,79,109,2025-01-06,16,2025-01-14,11,8,single,1,False,169208,2.820133333333333,Mature Phase,0.9813084112149533,2.5–3 min,Single,70–80,2025-01,0.19636363636363635,0.9813084112149533,0.7959183673469388,0.611713488114022
